timestamp,equity,returns,drawdown
2020-03-16 02:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 03:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 04:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 05:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 06:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 07:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 08:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 09:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 10:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 11:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 12:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 13:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 14:00:00+00:00,23435.381486129983,0.0,-0.01952465909530654
2020-03-16 15:00:00+00:00,23430.694410689983,-0.00019999996342179305,-0.01972075412762342
2020-03-16 16:00:00+00:00,23146.56729068998,-0.012126278249370626,-0.0316078930251551
2020-03-16 17:00:00+00:00,23244.68313068998,0.004238893774951347,-0.027502981751187372
2020-03-16 18:00:00+00:00,23375.50425068998,0.005628001864532939,-0.022029766719230404
2020-03-16 19:00:00+00:00,22955.44581068998,-0.01797002689204452,-0.03960391811090491
2020-03-16 20:00:00+00:00,22876.36975825998,-0.0034447622181736914,-0.04291225424827849
2020-03-16 21:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-16 22:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-16 23:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 00:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 01:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 02:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 03:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 04:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 05:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 06:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 07:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 08:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 09:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 10:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 11:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 12:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 13:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 14:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 15:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 16:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 17:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 18:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 19:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 20:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 21:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 22:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-17 23:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 00:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 01:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 02:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 03:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 04:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 05:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 06:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 07:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 08:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 09:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 10:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 11:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 12:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 13:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 14:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 15:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 16:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 17:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 18:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 19:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 20:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 21:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 22:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-18 23:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 00:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 01:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 02:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 03:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 04:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 05:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 06:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 07:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 08:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 09:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 10:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 11:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 12:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 13:00:00+00:00,22876.36975825998,0.0,-0.04291225424827849
2020-03-19 14:00:00+00:00,22871.79449717998,-0.00019999943733861603,-0.04310367125891246
2020-03-19 15:00:00+00:00,22695.82291717998,-0.007693824812115113,-0.05046586397560249
2020-03-19 16:00:00+00:00,22041.455362619978,-0.02883206997815746,-0.07784289863210714
2020-03-19 17:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-19 18:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-19 19:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-19 20:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-19 21:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-19 22:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-19 23:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 00:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 01:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 02:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 03:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 04:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 05:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 06:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 07:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 08:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 09:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 10:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 11:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 12:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 13:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 14:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 15:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 16:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 17:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 18:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 19:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 20:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 21:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 22:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-20 23:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 00:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 01:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 02:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 03:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 04:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 05:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 06:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 07:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 08:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 09:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 10:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 11:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 12:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 13:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 14:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 15:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 16:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 17:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 18:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 19:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 20:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 21:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 22:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-21 23:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 00:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 01:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 02:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 03:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 04:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 05:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 06:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 07:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 08:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 09:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 10:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 11:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 12:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 13:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 14:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 15:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 16:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 17:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 18:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 19:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 20:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 21:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 22:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-22 23:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-23 00:00:00+00:00,22041.455362619978,0.0,-0.07784289863210714
2020-03-23 01:00:00+00:00,22037.047067069976,-0.00020000020313892808,-0.07802733023970676
2020-03-23 02:00:00+00:00,22108.594976879976,0.0032467103960092114,-0.07503395198795959
2020-03-23 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-23 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-24 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-25 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-26 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-27 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-28 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 22:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-29 23:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 00:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 01:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 02:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 03:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 04:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 05:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 06:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 07:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 08:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 09:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 10:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 11:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 12:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 13:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 14:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 15:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 16:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 17:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 18:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 19:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 20:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
2020-03-30 21:00:00+00:00,22108.594976879976,0.0,-0.07503395198795959
